"namespace","key","English (source — do not edit)","Turkish (edit this column)"
"readings","readings.arcana-11.meaning","Strength isn't the lion — it's the woman with her hands on its jaws. Quiet power, gentle control, the kind of courage that doesn't need to roar. Master yourself before you try to master anything else.","Güç aslan değil — ellerini onun çenesine koyan kadındır. Sessiz güç, nazik kontrol, kükremeye ihtiyacı olmayan türden cesaret. Başka bir şeye hakim olmaya çalışmadan önce kendine hakim ol."
"readings","readings.arcana-11.past","You faced something that required deep inner strength — not force, but endurance. That quiet courage got you through.","Derin bir içsel güç gerektiren bir şeyle karşılaştın — zor değil, dayanıklılık. O sessiz cesaret seni taşıdı."
"readings","readings.arcana-11.present","The situation calls for patience, not power. Meet the challenge gently but firmly. You're stronger than the thing you're afraid of.","Durum güç değil, sabır istiyor. Meydan okumayı nazikçe ama kararlılıkla karşıla. Korktuğun şeyden daha güçlüsün."
"readings","readings.arcana-11.future","You'll be tested — not by an external enemy, but by your own impulses. The strength you need is already inside you. Trust it.","Sınanacaksın — dış bir düşman tarafından değil, kendi dürtülerin tarafından. İhtiyacın olan güç zaten içinde. Ona güven."
"readings","readings.arcana-12.keywords","surrender, new perspective, letting go, pause","teslimiyet, yeni perspektif, bırakma, duraksama"
"readings","readings.arcana-12.meaning","The Hanged Man hangs by choice. The world looks different upside down — and that's the point. This is voluntary suspension, a pause that changes everything. Stop struggling and see what the stillness shows you.","Asılan Adam kendi isteğiyle asılıdır. Dünya baş aşağı farklı görünür — ve asıl mesele de bu. Bu gönüllü askıya alıştır, her şeyi değiştiren bir duraksama. Mücadeleyi bırak ve dinginliğin ne gösterdiğini gör."
"readings","readings.arcana-12.past","A period of waiting or sacrifice shifted your entire perspective. What felt like stagnation was actually transformation in disguise.","Bir bekleme ya da fedakarlık dönemi tüm bakış açını değiştirdi. Durgunluk gibi hissedilen aslında kılık değiştirmiş dönüşümdü."
"readings","readings.arcana-12.present","Let go of the need to act. The answer comes when you stop chasing it. Surrender isn't defeat — it's strategy.","Harekete geçme ihtiyacını bırak. Cevap onu kovalamayı bıraktığında gelir. Teslimiyet yenilgi değil — stratejidir."
"readings","readings.arcana-12.future","A pause is coming. It will feel frustrating, but it's necessary. What you see from this new angle will change your approach entirely.","Bir duraksama geliyor. Sinir bozucu hissedecek ama gerekli. Bu yeni açıdan göreceklerin yaklaşımını tamamen değiştirecek."
"readings","readings.arcana-13.keywords","endings, transformation, transition, release","sonlar, dönüşüm, geçiş, bırakma"
"readings","readings.arcana-13.meaning","Death clears the field. Not destruction for its own sake — but the necessary ending that makes room for what's next. Something must die for something new to live. Let it go.","Ölüm alanı temizler. Kendi uğruna yıkım değil — bir sonrakine yer açan zorunlu sondur. Yeni bir şeyin yaşayabilmesi için bir şeyin ölmesi gerekir. Bırak."
"readings","readings.arcana-13.past","Something ended — a relationship, an identity, a chapter. It hurt. But look at what grew in the space it left.","Bir şey sona erdi — bir ilişki, bir kimlik, bir bölüm. Acıttı. Ama bıraktığı alanda ne büyüdüğüne bak."
"readings","readings.arcana-13.present","A transformation is underway. Resist it and you suffer longer. The thing that's ending has served its purpose. Release it with respect.","Bir dönüşüm sürüyor. Direnirsen daha uzun acı çekersin. Sona eren şey amacına hizmet etti. Ona saygıyla veda et."
"readings","readings.arcana-13.future","A significant ending is ahead. It's not a tragedy — it's a threshold. What follows will be worth what you leave behind.","Önemli bir son önünde. Bu bir trajedi değil — bir eşik. Ardından gelen, arkada bıraktığına değecek."
"readings","readings.arcana-14.keywords","balance, moderation, patience, purpose","denge, ölçülülük, sabır, amaç"
"readings","readings.arcana-14.meaning","Temperance pours water between two cups — back and forth, never spilling. This is the art of balance, of blending opposites, of finding the middle way. Patience and moderation will get you further than force.","Ölçülülük iki kupa arasında su döker — ileri geri, asla dökmeden. Bu denge sanatıdır, karşıtları harmanlama, orta yolu bulma. Sabır ve ölçülülük seni güçten daha ileri götürecek."
"readings","readings.arcana-14.past","A period of finding balance after extremes. You learned — maybe the hard way — that the middle path works better than the edges.","Aşırılıklardan sonra denge bulma dönemi. Belki de zor yoldan, orta yolun kenarlardan daha iyi işlediğini öğrendin."
"readings","readings.arcana-14.present","Easy does it. Whatever you're dealing with needs a measured approach, not a dramatic one. Blend, don't force.","Sakinliği koru. Uğraştığın her ne ise dramatik değil, ölçülü bir yaklaşım istiyor. Harmanla, zorlama."
"readings","readings.arcana-14.future","Harmony is building. The opposing forces in your life are moving toward integration. Give it time — the alchemy takes patience.","Uyum inşa oluyor. Hayatındaki karşıt güçler bütünleşmeye doğru hareket ediyor. Zaman tanı — simya sabır ister."
"readings","readings.arcana-15.keywords","shadow, bondage, materialism, attachment","gölge, tutsaklık, maddiyat, bağlanma"
"readings","readings.arcana-15.meaning","The Devil shows you the chains you chose to wear. Addiction, obsession, toxic patterns — they look comfortable until you realize you can't leave. The chains are loose. You could take them off. Will you?","Şeytan takmayı seçtiğin zincirleri gösterir. Bağımlılık, takıntı, zehirli kalıplar — çıkamayacağını fark edene kadar rahat görünürler. Zincirler gevşek. Onları çıkarabilirsin. Çıkaracak mısın?"
"readings","readings.arcana-15.past","A pattern of attachment held you — a habit, a relationship, a belief that kept you small. Recognizing the cage was the first step out.","Bir bağlılık kalıbı seni tuttu — bir alışkanlık, bir ilişki, seni küçük tutan bir inanç. Kafesi fark etmek dışarı çıkmanın ilk adımıydı."
"readings","readings.arcana-15.present","Something has more power over you than it should. A craving, a fear, a comfortable trap. Name it honestly. The chains aren't locked.","Bir şeyin üzerinde olması gerekenden fazla gücü var. Bir istek, bir korku, rahat bir tuzak. Dürüstçe adlandır. Zincirler kilitli değil."
"readings","readings.arcana-15.future","Be watchful. An attachment or temptation is approaching that will feel good in the short term and cost you in the long run. You'll know it when you see it.","Dikkatli ol. Yaklaşan bir bağlılık ya da ayartma kısa vadede iyi hissettirecek, uzun vadede sana pahalıya patlayacak. Gördüğünde anlayacaksın."
"readings","readings.arcana-16.keywords","upheaval, revelation, sudden change, breakdown","altüst oluş, ifşa, ani değişim, çöküş"
"readings","readings.arcana-16.meaning","The Tower gets struck by lightning and everything comes down. This isn't gentle change — it's the kind that shatters what was built on a shaky foundation. It's brutal. It's also necessary.","Kule'ye şimşek çarpar ve her şey yıkılır. Bu nazik bir değişim değil — sallantılı bir temel üzerine inşa edilmiş olanı parçalayan türden. Acımasız. Aynı zamanda gerekli."
"readings","readings.arcana-16.past","Something collapsed suddenly — a belief, a structure, a relationship. It was devastating at the time. It was also the most honest thing that could have happened.","Bir şey aniden çöktü — bir inanç, bir yapı, bir ilişki. O zaman yıkıcıydı. Aynı zamanda olabilecek en dürüst şeydi."
"readings","readings.arcana-16.present","Things are falling apart. Let them. What crumbles now wasn't solid to begin with. The destruction is clearing the ground for something real.","Her şey dağılıyor. Bırak dağılsın. Şimdi çöken başından beri sağlam değildi. Yıkım gerçek bir şey için zemin temizliyor."
"readings","readings.arcana-16.future","A sudden disruption is ahead. You can't prevent it, but you can choose what you build afterward. The old structure won't survive — and that's the point.","Önde ani bir bozulma var. Onu önleyemezsin ama sonra ne inşa edeceğini seçebilirsin. Eski yapı ayakta kalmayacak — ve mesele de bu."
"readings","readings.arcana-17.keywords","hope, faith, renewal, inspiration","umut, inanç, yenilenme, ilham"
"readings","readings.arcana-17.meaning","The Star comes after the Tower — calm after the storm. Naked, vulnerable, pouring water onto the earth and into the pool. This is quiet hope, the kind that returns when the worst is over.","Yıldız Kule'den sonra gelir — fırtınadan sonra sakinlik. Çıplak, kırılgan, toprağa ve havuza su döker. Bu sessiz umuttur, en kötüsü geçtiğinde geri dönen."
"readings","readings.arcana-17.past","After a period of darkness, hope returned. That moment of renewal — fragile but real — set you on a better path.","Karanlık bir dönemden sonra umut geri döndü. O yenilenme anı — kırılgan ama gerçek — seni daha iyi bir yola koydu."
"readings","readings.arcana-17.present","Breathe. The worst has passed. This is a time for healing, for reconnecting with what inspires you. Let yourself feel hopeful again.","Nefes al. En kötüsü geçti. Bu iyileşme zamanı, seni ilhamlandırana yeniden bağlanma zamanı. Kendine yeniden umutlu hissetmesine izin ver."
"readings","readings.arcana-17.future","Renewal is coming. After the upheaval, after the struggle — a clear, starlit night. You'll find your faith again.","Yenilenme geliyor. Altüst oluştan sonra, mücadeleden sonra — berrak, yıldızlı bir gece. İnancını yeniden bulacaksın."
"readings","readings.arcana-18.keywords","illusion, fear, anxiety, subconscious","yanılsama, korku, kaygı, bilinçaltı"
"readings","readings.arcana-18.meaning","The Moon lights up a strange landscape — nothing is quite what it seems. Fears, illusions, things half-seen in the dark. This card says: what you're afraid of may not be real, but the fear itself needs attention.","Ay tuhaf bir manzarayı aydınlatır — hiçbir şey göründüğü gibi değil. Korkular, yanılsamalar, karanlıkta yarım görülen şeyler. Bu kart der ki: korktuğun şey gerçek olmayabilir, ama korkunun kendisine dikkat etmen gerek."
"readings","readings.arcana-18.past","A period of confusion or deception colored your experience. Things weren't as they appeared, and the uncertainty left a mark.","Bir karışıklık ya da aldatma dönemi deneyimini renklendirdi. İşler göründükleri gibi değildi ve belirsizlik iz bıraktı."
"readings","readings.arcana-18.present","Trust is shaky right now. Something feels off, and you can't quite pin it down. Don't make big decisions in this fog — wait for clarity.","Güven şu anda zayıf. Bir şey doğru gelmiyor ve tam olarak işaret edemiyorsun. Bu sisin içinde büyük kararlar verme — netlik için bekle."
"readings","readings.arcana-18.future","A period of uncertainty is ahead. Not everything will be as it appears. Keep your wits about you and don't let anxiety drive your choices.","Önde bir belirsizlik dönemi var. Her şey göründüğü gibi olmayacak. Aklını başında tut ve kaygının seçimlerini yönlendirmesine izin verme."
"readings","readings.arcana-19.keywords","joy, success, vitality, clarity","sevinç, başarı, canlılık, netlik"
"readings","readings.arcana-19.meaning","The Sun shines without apology. Warmth, clarity, simple happiness — the kind that doesn't need to justify itself. After the Moon's confusion, this is daylight. Everything is visible and good.","Güneş özür dilemeden parlar. Sıcaklık, netlik, basit mutluluk — kendini haklı çıkarmaya gerek duymayan türden. Ay'ın karmaşasından sonra bu gün ışığıdır. Her şey görünür ve iyi."
"readings","readings.arcana-19.past","There was a time of genuine happiness — uncomplicated joy that lit everything up. That warmth is part of your story and can be returned to.","Gerçek bir mutluluk zamanı vardı — her şeyi aydınlatan karmaşık olmayan sevinç. O sıcaklık hikayenin bir parçası ve ona dönülebilir."
"readings","readings.arcana-19.present","Things are good. Really good. Let yourself enjoy it without waiting for the other shoe to drop. This is your moment in the sun.","İşler iyi. Gerçekten iyi. Diğer ayakkabının düşmesini beklemeden tadını çıkarmana izin ver. Bu güneşteki anın."
"readings","readings.arcana-19.future","Bright days ahead. Success, clarity, and warmth are coming. Whatever you've been working toward is about to step into the light.","Önde parlak günler var. Başarı, netlik ve sıcaklık geliyor. Üzerinde çalıştığın her ne ise ışığa adım atmak üzere."
"readings","readings.arcana-20.keywords","reflection, reckoning, awakening, absolution","yansıma, hesaplaşma, uyanış, aklanma"
"readings","readings.arcana-20.meaning","Judgement calls everyone to rise. This isn't external judgment — it's the moment you look at your whole life and decide what stays and what's released. A final reckoning before a new beginning.","Mahkeme herkesi ayağa kalkmaya çağırır. Bu dışsal bir yargı değil — tüm hayatına baktığın ve neyin kalacağına, neyin bırakılacağına karar verdiğin andır. Yeni bir başlangıçtan önceki son hesaplaşma."
"readings","readings.arcana-20.past","A moment of deep reckoning changed your direction. You looked honestly at where you'd been and made a choice about where to go next.","Derin bir hesaplaşma anı yönünü değiştirdi. Nerede olduğuna dürüstçe baktın ve sonra nereye gideceğin konusunda bir seçim yaptın."
"readings","readings.arcana-20.present","You're being called to account — by yourself, not others. What have you learned? What needs to be forgiven? Answer honestly and you'll be free.","Hesap vermeye çağrılıyorsun — kendin tarafından, başkaları tarafından değil. Ne öğrendin? Neyin affedilmesi gerek? Dürüstçe cevap ver ve özgür olursun."
"readings","readings.arcana-20.future","An awakening is ahead. Not sudden like the Tower, but deep and deliberate. You'll see your path with new clarity and know exactly what to do.","Önde bir uyanış var. Kule gibi ani değil, derin ve kasıtlı. Yolunu yeni bir netlikle göreceksin ve tam olarak ne yapacağını bileceksin."
"readings","readings.arcana-21.keywords","completion, integration, accomplishment, wholeness","tamamlama, bütünleşme, başarı, bütünlük"
"readings","readings.arcana-21.meaning","The World is the final card — the dance at the end of the journey. Everything has come full circle. A chapter is complete, and you stand whole within it. Celebrate before you begin again.","Dünya son karttır — yolculuğun sonundaki dans. Her şey tam bir daire çizdi. Bir bölüm tamamlandı ve sen onun içinde bütün durursun. Yeniden başlamadan önce kutla."
"readings","readings.arcana-21.past","A cycle completed. Something you worked toward for a long time finally came together. That accomplishment is real — own it.","Bir döngü tamamlandı. Uzun süre uğraştığın bir şey sonunda bir araya geldi. O başarı gerçek — sahiplen."
"readings","readings.arcana-21.present","You're at the end of a major chapter. Integration, completion, the feeling of having arrived. Pause and take it in before the next cycle begins.","Büyük bir bölümün sonundasın. Bütünleşme, tamamlama, vardığın hissi. Bir sonraki döngü başlamadan önce dur ve içine çek."
"readings","readings.arcana-21.future","Completion is approaching. The long road you've been on is reaching its destination. What awaits is wholeness and the satisfaction of a journey finished.","Tamamlanma yaklaşıyor. Uzun süredir üzerinde olduğun yol varış noktasına ulaşıyor. Seni bütünlük ve tamamlanmış bir yolculuğun tatmini bekliyor."
"readings","readings.chalices-1.keywords","new love, emotional beginning, intuition, compassion","yeni aşk, duygusal başlangıç, sezgi, şefkat"
"readings","readings.chalices-1.meaning","The Ace of Chalices is a cup overflowing. A new emotional beginning — love, creative inspiration, or a spiritual opening. Something is being offered to you. Open your hands.","Kupa Ası taşan bir kadehtir. Yeni bir duygusal başlangıç — aşk, yaratıcı ilham ya da ruhsal bir açılış. Sana bir şey sunuluyor. Ellerini aç."
"readings","readings.chalices-1.past","An emotional door opened — new love, a creative spark, or a spiritual awakening. That opening changed the course of your inner life.","Duygusal bir kapı açıldı — yeni aşk, yaratıcı bir kıvılcım ya da ruhsal bir uyanış. O açılım iç yaşamının seyrini değiştirdi."
"readings","readings.chalices-1.present","Something new is stirring in your heart. A feeling, a connection, a creative impulse. Don't analyze it — receive it.","Kalbinde yeni bir şey kıpırdanıyor. Bir duygu, bir bağlantı, yaratıcı bir dürtü. Analiz etme — al."
"readings","readings.chalices-1.future","An emotional gift is on its way. New love, deep inspiration, or a moment of pure connection. Be open to what arrives.","Yolunda duygusal bir armağan var. Yeni aşk, derin ilham ya da saf bir bağlantı anı. Gelene açık ol."
"readings","readings.chalices-2.keywords","partnership, mutual attraction, connection, harmony","ortaklık, karşılıklı çekim, bağlantı, uyum"
"readings","readings.chalices-2.meaning","Two cups raised in mutual recognition. This is partnership at its simplest — two people seeing each other clearly and choosing to connect. Equal exchange, no games.","Karşılıklı tanınmayla kaldırılmış iki kadeh. Bu en basit haliyle ortaklıktır — iki insan birbirini net görüp bağlanmayı seçer. Eşit alışveriş, oyun yok."
"readings","readings.chalices-2.past","A meaningful partnership shaped you — romantic or otherwise. The mutual respect and genuine connection left a lasting impression.","Anlamlı bir ortaklık seni şekillendirdi — romantik ya da değil. Karşılıklı saygı ve gerçek bağlantı kalıcı bir izlenim bıraktı."
"readings","readings.chalices-2.present","A connection is forming based on real mutual attraction. This is balanced, honest, and worth investing in.","Gerçek karşılıklı çekime dayalı bir bağlantı oluşuyor. Bu dengeli, dürüst ve yatırım yapmaya değer."
"readings","readings.chalices-2.future","A significant partnership is ahead. Someone will meet you where you are — no pretense, no imbalance. Just honest connection.","Önde önemli bir ortaklık var. Biri seni olduğun yerde karşılayacak — yapmacıksız, dengesizliksiz. Sadece dürüst bağlantı."
"readings","readings.chalices-3.keywords","celebration, friendship, community, joy","kutlama, dostluk, topluluk, sevinç"
"readings","readings.chalices-3.meaning","Three cups raised in celebration. Friends, community, shared joy. This card is a party — not a wild one, but the kind where you look around and realize you're surrounded by people who actually care.","Kutlamada kaldırılmış üç kadeh. Arkadaşlar, topluluk, paylaşılan sevinç. Bu kart bir partidir — çılgın değil, etrafına baktığında gerçekten önem veren insanlarla çevrili olduğunu fark ettiğin türden."
"readings","readings.chalices-3.past","A celebration or gathering brought genuine joy. The community around you at that time lifted you up in ways that mattered.","Bir kutlama ya da toplantı gerçek sevinç getirdi. O zamanki etrafındaki topluluk seni önemli biçimlerde yukarı kaldırdı."
"readings","readings.chalices-3.present","Celebrate what you have. Call the friends, raise a glass, enjoy the moment. Not everything needs to be heavy or meaningful — sometimes joy is enough.","Sahip olduğunu kutla. Arkadaşları ara, bardağı kaldır, anın tadını çıkar. Her şeyin ağır ya da anlamlı olması gerekmez — bazen sevinç yeter."
"readings","readings.chalices-3.future","A gathering or celebration is ahead. Good company, shared happiness, the warmth of belonging. Let yourself enjoy it.","Önde bir toplantı ya da kutlama var. İyi arkadaşlar, paylaşılan mutluluk, aidiyetin sıcaklığı. Keyfini çıkarmana izin ver."
"readings","readings.chalices-4.keywords","apathy, contemplation, disconnection, missed opportunity","kayıtsızlık, tefekkür, kopukluk, kaçırılan fırsat"
"readings","readings.chalices-4.meaning","Four cups — three on the ground, one being offered by a hand from a cloud. But the figure sits with crossed arms, too bored or brooding to notice. What you're looking for might already be in front of you.","Dört kadeh — üçü yerde, biri buluttan uzanan bir el tarafından sunuluyor. Ama figür kolları çapraz, fark edemeyecek kadar sıkılmış ya da dalgın oturuyor. Aradığın şey zaten önünde olabilir."
"readings","readings.chalices-4.past","You missed something because you were too caught up in what you didn't have. An opportunity or connection went unnoticed while you were focused elsewhere.","Sahip olmadığına kapıldığın için bir şeyi kaçırdın. Dikkatin başka yerdeyken bir fırsat ya da bağlantı fark edilmeden geçip gitti."
"readings","readings.chalices-4.present","Boredom or dissatisfaction is clouding your vision. There's an offer on the table you're not seeing. Look up.","Sıkıntı ya da tatminsizlik görüşünü bulandırıyor. Masada görmediğin bir teklif var. Başını kaldır."
"readings","readings.chalices-4.future","Be careful not to overlook what's being offered. Discontent can blind you to real gifts. The fourth cup is there — you just need to reach for it.","Sunulanı gözden kaçırmamaya dikkat et. Hoşnutsuzluk gerçek armağanlara seni kör edebilir. Dördüncü kadeh orada — sadece uzanman gerekiyor."
"readings","readings.chalices-5.keywords","grief, loss, regret, disappointment","keder, kayıp, pişmanlık, hayal kırıklığı"
"readings","readings.chalices-5.meaning","Five cups — three spilled, two still standing. The figure stares at the loss, back turned to what remains. Grief is real, but so is what survived. The question is which cups you focus on.","Beş kadeh — üçü dökülmüş, ikisi hâlâ ayakta. Figür kayba bakıyor, sırtı kalanlara dönük. Keder gerçek, ama hayatta kalan da gerçek. Soru hangi kadehlere odaklanacağın."
"readings","readings.chalices-5.past","A loss hit hard, and you spent time mourning what was gone. That grief was valid — but it may have kept you from seeing what was left.","Bir kayıp ağır vurdu ve gidenin yasını tuttuğun zaman oldu. O keder geçerliydi — ama kalanları görmeni engellemiş olabilir."
"readings","readings.chalices-5.present","You're focused on what went wrong. That's understandable. But turn around — not everything is lost. Two cups still stand.","Neyin yanlış gittiğine odaklanmışsın. Bu anlaşılır. Ama dön — her şey kayıp değil. İki kadeh hâlâ ayakta."
"readings","readings.chalices-5.future","A disappointment is ahead, but it won't take everything. Allow yourself to grieve, then look at what remains. It's more than you think.","Önde bir hayal kırıklığı var, ama her şeyi götürmeyecek. Kendine yas tutma izni ver, sonra kalana bak. Sandığından daha fazla."
"readings","readings.chalices-6.keywords","nostalgia, memories, innocence, reunion","nostalji, anılar, masumiyet, yeniden buluşma"
"readings","readings.chalices-6.meaning","Six cups filled with flowers, a scene from childhood. This card smells like your grandmother's house. Nostalgia, old memories, the sweetness of simpler times. Just be careful not to live there.","Çiçeklerle dolu altı kadeh, çocukluktan bir sahne. Bu kart büyükannenin evi gibi kokar. Nostalji, eski anılar, daha basit zamanların tatlılığı. Sadece orada yaşamamaya dikkat et."
"readings","readings.chalices-6.past","A memory or a person from your past played a significant role. That innocence and warmth shaped you in ways you might not fully appreciate.","Geçmişinden bir anı ya da bir kişi önemli bir rol oynadı. O masumiyet ve sıcaklık, tam olarak değerini bilmediğin biçimlerde seni şekillendirdi."
"readings","readings.chalices-6.present","The past is calling — an old friend, a memory, a place you used to know. It's okay to revisit, but remember: you can't move forward looking backward.","Geçmiş seni çağırıyor — eski bir dost, bir anı, bir zamanlar tanıdığın bir yer. Ziyaret etmek sorun değil ama hatırla: geriye bakarak ileri gidemezsin."
"readings","readings.chalices-6.future","Someone or something from your past will reappear. A reunion, a memory resurfacing, or a return to something familiar. Enjoy it, but stay grounded in the present.","Geçmişinden biri ya da bir şey yeniden görünecek. Bir yeniden buluşma, yeniden yüzeye çıkan bir anı ya da tanıdık bir şeye dönüş. Tadını çıkar, ama şimdinin içinde kal."
"readings","readings.chalices-7.keywords","fantasy, illusion, wishful thinking, choices","fantezi, yanılsama, hülya, seçimler"
"readings","readings.chalices-7.meaning","Seven cups float in the clouds — each one a fantasy, a wish, a distraction. Castles, jewels, dragons, a veiled figure. Tempting, but none of it is real yet. Choose one and make it solid, or keep dreaming forever.","Yedi kadeh bulutlarda süzülür — her biri bir fantezi, bir dilek, bir dikkat dağıtıcı. Kaleler, mücevherler, ejderhalar, örtülü bir figür. Baştan çıkarıcı, ama henüz hiçbiri gerçek değil. Birini seç ve onu somutlaştır, ya da sonsuza dek hayal kurmaya devam et."
"readings","readings.chalices-7.past","Too many options or fantasies scattered your focus. You spent time chasing illusions instead of committing to something real.","Çok fazla seçenek ya da fantezi odağını dağıttı. Gerçek bir şeye bağlanmak yerine yanılsamaların peşinde zaman harcandı."
"readings","readings.chalices-7.present","You're lost in possibilities. Some are genuine, most are smoke. Get honest about what you actually want — then commit to it.","Olasılıklar içinde kaybolmuş durumdasın. Bazıları gerçek, çoğu duman. Gerçekten ne istediğin konusunda dürüst ol — sonra ona bağlan."
"readings","readings.chalices-7.future","A dazzling array of options will present themselves. Most are distractions. Discernment will be your most valuable skill.","Göz alıcı bir seçenek dizisi kendini gösterecek. Çoğu dikkat dağıtıcı. Ayırt etme yeteneği en değerli becerin olacak."
"readings","readings.chalices-8.keywords","departure, withdrawal, letting go, searching","ayrılış, geri çekilme, bırakma, arayış"
"readings","readings.chalices-8.meaning","Eight cups stacked neatly, a figure walking away under a crescent moon. Something is being left behind — not because it's bad, but because it's not enough anymore. This is a quiet, necessary departure.","Sekiz kadeh düzgünce istiflenmiş, bir figür hilal ayın altında yürüyerek uzaklaşıyor. Bir şey geride bırakılıyor — kötü olduğu için değil, artık yeterli olmadığı için. Bu sessiz, gerekli bir ayrılış."
"readings","readings.chalices-8.past","You walked away from something that looked fine from the outside but felt empty within. That departure took courage, even if no one understood it.","Dışarıdan iyi görünen ama içten boş hissettiren bir şeyden uzaklaştın. Kimse anlamasa bile o ayrılış cesaret istedi."
"readings","readings.chalices-8.present","Something isn't filling you anymore. The cups are there, but they're not enough. It's time to walk away and look for what's missing.","Bir şey seni artık doldurmuyor. Kadehler orada, ama yeterli değiller. Uzaklaşıp eksik olanı aramanın zamanı."
"readings","readings.chalices-8.future","You'll reach a point where you outgrow a situation. The departure will be quiet and deliberate — not dramatic, but deeply necessary.","Bir durumu aştığın bir noktaya ulaşacaksın. Ayrılış sessiz ve kararlı olacak — dramatik değil, derinden gerekli."
"readings","readings.chalices-9.keywords","contentment, satisfaction, gratitude, wish fulfilled","hoşnutluk, tatmin, şükran, gerçekleşmiş dilek"
"readings","readings.chalices-9.meaning","Nine cups displayed proudly, the figure sits with arms crossed and a satisfied grin. The wish card. What you wanted — you got it. Enjoy the moment of having enough.","Dokuz kadeh gururla sergileniyor, figür kollarını çaprazlamış ve tatmin olmuş bir sırıtışla oturuyor. Dilek kartı. İstediğin — elde ettin. Yeterince sahip olma anının tadını çıkar."
"readings","readings.chalices-9.past","A wish came true. A moment of genuine satisfaction when things lined up the way you hoped. That contentment was earned.","Bir dilek gerçek oldu. Her şeyin umduğun gibi hizalandığı gerçek bir tatmin anı. O hoşnutluk hak edilmişti."
"readings","readings.chalices-9.present","Look at what you have. Really look. This is a moment of fulfillment — maybe not perfection, but genuine satisfaction. Let yourself enjoy it.","Sahip olduğuna bak. Gerçekten bak. Bu bir gerçekleşme anı — belki mükemmellik değil, ama gerçek tatmin. Kendine tadını çıkarma izni ver."
"readings","readings.chalices-9.future","A wish is about to be granted. Not in a fairy-tale way, but in the real, solid way that comes from work meeting luck. Savor it.","Bir dilek gerçekleşmek üzere. Peri masalı gibi değil, çalışmanın şansla buluştuğu gerçek, sağlam bir biçimde. Tadını çıkar."
"readings","readings.chalices-10.keywords","harmony, family, happiness, emotional fulfillment","uyum, aile, mutluluk, duygusal doyum"
"readings","readings.chalices-10.meaning","Ten cups arched like a rainbow over a happy family. Emotional completion — love, belonging, the whole picture. This is what it looks like when the heart has everything it needs.","Mutlu bir ailenin üstünde gökkuşağı gibi kavislenmiş on kadeh. Duygusal tamamlanma — sevgi, aidiyet, tüm resim. Kalbin ihtiyacı olan her şeye sahip olduğunda işte böyle görünür."
"readings","readings.chalices-10.past","A time of deep emotional fulfillment — family, love, belonging. That experience of wholeness set a standard for what happiness can look like.","Derin duygusal doyumun olduğu bir zaman — aile, sevgi, aidiyet. O bütünlük deneyimi mutluluğun nasıl görünebileceğine bir ölçüt koydu."
"readings","readings.chalices-10.present","Emotional abundance surrounds you. Family, love, connection — the full picture. Don't take it for granted. This is the thing people are chasing.","Duygusal bolluk seni sarıyor. Aile, sevgi, bağlantı — tam resim. Hafife alma. İnsanların peşinde koştuğu tam da bu."
"readings","readings.chalices-10.future","Lasting emotional fulfillment is ahead. Not a fleeting high, but the deep, steady happiness that comes from genuine connection and love.","Önde kalıcı duygusal doyum var. Geçici bir yüksek değil, gerçek bağlantı ve sevgiden gelen derin, sağlam mutluluk."
"readings","readings.chalices-page.keywords","creative spark, curiosity, sensitivity, new feelings","yaratıcı kıvılcım, merak, duyarlılık, yeni duygular"
"readings","readings.chalices-page.meaning","A young figure gazes at a cup with a fish leaping from it — surprised and enchanted. New emotional or creative stirrings, the sensitivity of someone just learning to feel deeply.","Genç bir figür, içinden bir balık sıçrayan bir kadehe bakıyor — şaşırmış ve büyülenmiş. Yeni duygusal ya da yaratıcı kıpırdanışlar, derinden hissetmeyi yeni öğrenen birinin duyarlılığı."
"readings","readings.chalices-page.past","An early emotional experience awakened something in you. A first crush, a creative discovery, a moment of surprising tenderness.","Erken bir duygusal deneyim içinde bir şeyi uyandırdı. İlk bir aşk, yaratıcı bir keşif, şaşırtıcı bir şefkat anı."
"readings","readings.chalices-page.present","A new feeling is emerging — tender, unformed, full of possibility. Approach it with curiosity, not skepticism. Let it develop.","Yeni bir duygu beliriyor — hassas, biçimsiz, olasılıklarla dolu. Ona şüpheyle değil, merakla yaklaş. Gelişmesine izin ver."
"readings","readings.chalices-page.future","A message of the heart is coming. New creative inspiration or an emotional surprise that reawakens your sense of wonder.","Yoldan bir kalp mesajı geliyor. Yeni yaratıcı ilham ya da merak duygunu yeniden uyandıran duygusal bir sürpriz."
"readings","readings.chalices-knight.keywords","romance, charm, idealism, imagination","romantizm, çekicilik, idealizm, hayal gücü"
"readings","readings.chalices-knight.meaning","The Knight of Chalices rides slowly, cup extended like an offering. The romantic, the poet, the one who follows the heart without question. Beautiful — just make sure it's grounded in reality.","Kupa Şövalyesi yavaşça ilerler, kadehi bir sunu gibi uzatılmıştır. Romantik, şair, kalbi sorgusuzca takip eden kişi. Güzel — sadece gerçekle topraklı olduğundan emin ol."
"readings","readings.chalices-knight.past","A romantic pursuit or creative passion swept you along. The idealism was genuine, even if reality eventually complicated things.","Romantik bir arayış ya da yaratıcı bir tutku seni sürükledi. Gerçeklik sonunda işleri karmaşıklaştırmış olsa bile idealizm gerçekti."
