"namespace","key","English (source — do not edit)","Russian (edit this column)"
"readings","readings.arcana-16.past","Something collapsed suddenly — a belief, a structure, a relationship. It was devastating at the time. It was also the most honest thing that could have happened.","Что-то рухнуло — внезапно и болезненно. Но именно это разрушение расчистило почву для чего-то настоящего."
"readings","readings.arcana-16.present","Things are falling apart. Let them. What crumbles now wasn't solid to begin with. The destruction is clearing the ground for something real.","Трещины уже видны. Не пытайся залатать то, что должно рухнуть. Позволь разрушению произойти — за ним придёт ясность."
"readings","readings.arcana-16.future","A sudden disruption is ahead. You can't prevent it, but you can choose what you build afterward. The old structure won't survive — and that's the point.","Впереди потрясение. Оно будет резким, но не случайным. То, что не выдержит — и не должно было стоять. После бури будет чисто."
"readings","readings.arcana-17.keywords","hope, faith, renewal, inspiration","надежда, вдохновение, обновление, вера"
"readings","readings.arcana-17.meaning","The Star comes after the Tower — calm after the storm. Naked, vulnerable, pouring water onto the earth and into the pool. This is quiet hope, the kind that returns when the worst is over.","Звезда сияет после бури. Женщина льёт воду на землю и в воду — питая и тело, и дух. После разрушения приходит тихая, уверенная надежда. Худшее позади."
"readings","readings.arcana-17.past","After a period of darkness, hope returned. That moment of renewal — fragile but real — set you on a better path.","После тёмного периода пришёл свет. Надежда вернулась, когда казалось, что всё потеряно. Тот момент обновления оставил глубокий след."
"readings","readings.arcana-17.present","Breathe. The worst has passed. This is a time for healing, for reconnecting with what inspires you. Let yourself feel hopeful again.","Свет уже виден. После трудного периода приходит облегчение и тихая вера в то, что всё будет хорошо. Доверься этому чувству."
"readings","readings.arcana-17.future","Renewal is coming. After the upheaval, after the struggle — a clear, starlit night. You'll find your faith again.","Впереди обновление и вдохновение. Звезда уже взошла, даже если её пока не видно. Надежда — не иллюзия, а обещание."
"readings","readings.arcana-18.keywords","illusion, fear, anxiety, subconscious","иллюзия, страх, подсознание, неясность"
"readings","readings.arcana-18.meaning","The Moon lights up a strange landscape — nothing is quite what it seems. Fears, illusions, things half-seen in the dark. This card says: what you're afraid of may not be real, but the fear itself needs attention.","Луна освещает путь, но её свет обманчив. Тени кажутся чудовищами, а знакомое — чужим. Здесь царит подсознание, страхи и то, что не хочется видеть. Не всё то, чем кажется."
"readings","readings.arcana-18.past","A period of confusion or deception colored your experience. Things weren't as they appeared, and the uncertainty left a mark.","Период тумана и неясности, когда иллюзии казались реальностью. Страхи управляли решениями, и не всё было таким, каким выглядело."
"readings","readings.arcana-18.present","Trust is shaky right now. Something feels off, and you can't quite pin it down. Don't make big decisions in this fog — wait for clarity.","Что-то не так, как кажется. Не доверяй первому впечатлению. Страхи искажают восприятие — отдели реальное от воображаемого."
"readings","readings.arcana-18.future","A period of uncertainty is ahead. Not everything will be as it appears. Keep your wits about you and don't let anxiety drive your choices.","Впереди период неопределённости. Туман рассеется, но не сразу. Двигайся осторожно и не принимай тени за истину."
"readings","readings.arcana-19.keywords","joy, success, vitality, clarity","радость, успех, ясность, жизненная сила"
"readings","readings.arcana-19.meaning","The Sun shines without apology. Warmth, clarity, simple happiness — the kind that doesn't need to justify itself. After the Moon's confusion, this is daylight. Everything is visible and good.","Солнце светит без оговорок. Здесь всё ясно, тепло и полно жизни. Ребёнок на белом коне — чистая радость без условий. Карта говорит: да, всё хорошо, и это заслуженно."
"readings","readings.arcana-19.past","There was a time of genuine happiness — uncomplicated joy that lit everything up. That warmth is part of your story and can be returned to.","Был период настоящего счастья и ясности. Время, когда всё было на своих местах и жизнь ощущалась полной."
"readings","readings.arcana-19.present","Things are good. Really good. Let yourself enjoy it without waiting for the other shoe to drop. This is your moment in the sun.","Солнце светит прямо сейчас. Радость, энергия, ясность — всё это доступно. Прими это без сомнений."
"readings","readings.arcana-19.future","Bright days ahead. Success, clarity, and warmth are coming. Whatever you've been working toward is about to step into the light.","Впереди период радости и успеха. Тучи рассеиваются, и то, что было неясным, станет очевидным. Свет приближается."
"readings","readings.arcana-20.keywords","reflection, reckoning, awakening, absolution","пробуждение, призыв, суд, обновление"
"readings","readings.arcana-20.meaning","Judgement calls everyone to rise. This isn't external judgment — it's the moment you look at your whole life and decide what stays and what's released. A final reckoning before a new beginning.","Суд — это момент, когда трубы звучат и прошлое встаёт перед глазами. Не наказание, а пробуждение. Время оценить пройденное и ответить на зов того, кем ты на самом деле являешься."
"readings","readings.arcana-20.past","A moment of deep reckoning changed your direction. You looked honestly at where you'd been and made a choice about where to go next.","Был момент пробуждения — осознание, которое всё изменило. Зов прозвучал, и жизнь разделилась на «до» и «после»."
"readings","readings.arcana-20.present","You're being called to account — by yourself, not others. What have you learned? What needs to be forgiven? Answer honestly and you'll be free.","Что-то зовёт изнутри. Это не просто желание — это призвание. Пора честно посмотреть на свой путь и ответить."
"readings","readings.arcana-20.future","An awakening is ahead. Not sudden like the Tower, but deep and deliberate. You'll see your path with new clarity and know exactly what to do.","Приближается момент истины. Всё, что было накоплено, будет оценено — не кем-то другим, а тобой. Пробуждение неизбежно."
"readings","readings.arcana-21.keywords","completion, integration, accomplishment, wholeness","завершение, целостность, достижение, гармония"
"readings","readings.arcana-21.meaning","The World is the final card — the dance at the end of the journey. Everything has come full circle. A chapter is complete, and you stand whole within it. Celebrate before you begin again.","Мир — танцующая фигура в венке из лавров, окружённая четырьмя стихиями. Цикл завершён. Всё на своём месте, всё в гармонии. Это не конец — это полнота."
"readings","readings.arcana-21.past","A cycle completed. Something you worked toward for a long time finally came together. That accomplishment is real — own it.","Что-то было завершено целиком — без недосказанностей, без хвостов. Тот момент полноты и гармонии до сих пор отзывается."
"readings","readings.arcana-21.present","You're at the end of a major chapter. Integration, completion, the feeling of having arrived. Pause and take it in before the next cycle begins.","Цикл подходит к завершению. Всё сходится в единое целое. Почувствуй эту полноту — она заслужена."
"readings","readings.arcana-21.future","Completion is approaching. The long road you've been on is reaching its destination. What awaits is wholeness and the satisfaction of a journey finished.","Впереди завершение и гармония. Всё, над чем шла работа, соберётся в единую картину. Круг замкнётся."
"readings","readings.chalices-1.keywords","new love, emotional beginning, intuition, compassion","новое чувство, интуиция, любовь, начало"
"readings","readings.chalices-1.meaning","The Ace of Chalices is a cup overflowing. A new emotional beginning — love, creative inspiration, or a spiritual opening. Something is being offered to you. Open your hands.","Туз Кубков — рука из облака, протягивающая чашу, полную чувств. Новое эмоциональное начало: любовь, творческое вдохновение или духовный дар. Прими то, что предлагается."
"readings","readings.chalices-1.past","An emotional door opened — new love, a creative spark, or a spiritual awakening. That opening changed the course of your inner life.","Что-то открылось в сердце — новое чувство, связь или творческий поток. Это начало изменило эмоциональный ландшафт."
"readings","readings.chalices-1.present","Something new is stirring in your heart. A feeling, a connection, a creative impulse. Don't analyze it — receive it.","Перед тобой дар — эмоциональный или творческий. Не анализируй, не сомневайся. Прими чашу."
"readings","readings.chalices-1.future","An emotional gift is on its way. New love, deep inspiration, or a moment of pure connection. Be open to what arrives.","Приближается новое чувство или связь. Сердце готовится открыться для чего-то свежего и настоящего."
"readings","readings.chalices-2.keywords","partnership, mutual attraction, connection, harmony","партнёрство, притяжение, связь, взаимность"
"readings","readings.chalices-2.meaning","Two cups raised in mutual recognition. This is partnership at its simplest — two people seeing each other clearly and choosing to connect. Equal exchange, no games.","Двойка Кубков — две фигуры протягивают друг другу чаши. Взаимная связь, притяжение, честный обмен. Не обязательно романтика — любое партнёрство, основанное на равенстве."
"readings","readings.chalices-2.past","A meaningful partnership shaped you — romantic or otherwise. The mutual respect and genuine connection left a lasting impression.","Связь, построенная на взаимности и уважении, оставила след. Тот союз — каким бы он ни был — научил чему-то важному."
"readings","readings.chalices-2.present","A connection is forming based on real mutual attraction. This is balanced, honest, and worth investing in.","Рядом есть кто-то, с кем возможна настоящая связь. Или уже существующие отношения выходят на новый уровень честности."
"readings","readings.chalices-2.future","A significant partnership is ahead. Someone will meet you where you are — no pretense, no imbalance. Just honest connection.","Впереди встреча или углубление связи. Партнёрство, основанное на равенстве и взаимном уважении."
"readings","readings.chalices-3.keywords","celebration, friendship, community, joy","праздник, дружба, общность, радость"
"readings","readings.chalices-3.meaning","Three cups raised in celebration. Friends, community, shared joy. This card is a party — not a wild one, but the kind where you look around and realize you're surrounded by people who actually care.","Тройка Кубков — три фигуры поднимают чаши в общем тосте. Праздник, дружба, общая радость. Время отметить то, что есть, вместе с теми, кто рядом."
"readings","readings.chalices-3.past","A celebration or gathering brought genuine joy. The community around you at that time lifted you up in ways that mattered.","Период радости и единства с близкими. Время, когда дружба и общность давали силу и поддержку."
"readings","readings.chalices-3.present","Celebrate what you have. Call the friends, raise a glass, enjoy the moment. Not everything needs to be heavy or meaningful — sometimes joy is enough.","Есть повод отпраздновать — не в одиночку. Обратись к тем, кто рядом. Разделённая радость удваивается."
"readings","readings.chalices-3.future","A gathering or celebration is ahead. Good company, shared happiness, the warmth of belonging. Let yourself enjoy it.","Впереди встреча или событие, которое принесёт общую радость. Близкие люди будут рядом в нужный момент."
"readings","readings.chalices-4.keywords","apathy, contemplation, disconnection, missed opportunity","апатия, пресыщение, упущенное, созерцание"
"readings","readings.chalices-4.meaning","Four cups — three on the ground, one being offered by a hand from a cloud. But the figure sits with crossed arms, too bored or brooding to notice. What you're looking for might already be in front of you.","Четвёрка Кубков — фигура сидит, скрестив руки, не замечая протянутую чашу. Пресыщение или разочарование мешают видеть то, что предлагается. Посмотри внимательнее — рядом есть то, что упускаешь."
"readings","readings.chalices-4.past","You missed something because you were too caught up in what you didn't have. An opportunity or connection went unnoticed while you were focused elsewhere.","Период апатии или разочарования, когда что-то важное осталось незамеченным. Возможность была рядом, но взгляд был направлен не туда."
"readings","readings.chalices-4.present","Boredom or dissatisfaction is clouding your vision. There's an offer on the table you're not seeing. Look up.","Что-то предлагается, но ты этого не видишь. Скука или обида закрывают обзор. Оглянись — четвёртая чаша ждёт."
"readings","readings.chalices-4.future","Be careful not to overlook what's being offered. Discontent can blind you to real gifts. The fourth cup is there — you just need to reach for it.","Возможность придёт тихо, без фанфар. Важно не пропустить её за пеленой привычного недовольства."
"readings","readings.chalices-5.keywords","grief, loss, regret, disappointment","потеря, горе, сожаление, неполная картина"
"readings","readings.chalices-5.meaning","Five cups — three spilled, two still standing. The figure stares at the loss, back turned to what remains. Grief is real, but so is what survived. The question is which cups you focus on.","Пятёрка Кубков — фигура в чёрном плаще скорбит над тремя упавшими чашами, не замечая две, стоящие позади. Горе реально, но оно не вся история. Кое-что уцелело."
"readings","readings.chalices-5.past","A loss hit hard, and you spent time mourning what was gone. That grief was valid — but it may have kept you from seeing what was left.","Потеря причинила боль, и горе было настоящим. Но в фокусе на утраченном легко было не заметить то, что осталось."
"readings","readings.chalices-5.present","You're focused on what went wrong. That's understandable. But turn around — not everything is lost. Two cups still stand.","Горе или сожаление занимает всё поле зрения. Но обернись — две чаши всё ещё стоят. Не всё потеряно."
"readings","readings.chalices-5.future","A disappointment is ahead, but it won't take everything. Allow yourself to grieve, then look at what remains. It's more than you think.","Впереди может быть утрата, но не полная. Важно помнить: даже в горе остаётся то, за что можно держаться."
"readings","readings.chalices-6.keywords","nostalgia, memories, innocence, reunion","ностальгия, прошлое, невинность, воспоминания"
"readings","readings.chalices-6.meaning","Six cups filled with flowers, a scene from childhood. This card smells like your grandmother's house. Nostalgia, old memories, the sweetness of simpler times. Just be careful not to live there.","Шестёрка Кубков — ребёнок протягивает цветок. Возвращение к простоте, ностальгия, тёплые воспоминания. Прошлое напоминает о себе — не для того, чтобы вернуть, а чтобы согреть."
"readings","readings.chalices-6.past","A memory or a person from your past played a significant role. That innocence and warmth shaped you in ways you might not fully appreciate.","Детство, невинность, время, когда всё было проще. Эти воспоминания до сих пор греют и формируют."
"readings","readings.chalices-6.present","The past is calling — an old friend, a memory, a place you used to know. It's okay to revisit, but remember: you can't move forward looking backward.","Что-то из прошлого возвращается — человек, чувство, воспоминание. Прими это с теплотой, но не пытайся жить там."
"readings","readings.chalices-6.future","Someone or something from your past will reappear. A reunion, a memory resurfacing, or a return to something familiar. Enjoy it, but stay grounded in the present.","Впереди встреча с прошлым — через человека или ситуацию. Она принесёт тепло и ясность о том, откуда ты идёшь."
"readings","readings.chalices-7.keywords","fantasy, illusion, wishful thinking, choices","иллюзия, фантазия, выбор, соблазн"
"readings","readings.chalices-7.meaning","Seven cups float in the clouds — each one a fantasy, a wish, a distraction. Castles, jewels, dragons, a veiled figure. Tempting, but none of it is real yet. Choose one and make it solid, or keep dreaming forever.","Семёрка Кубков — фигура перед семью чашами, каждая с видением внутри. Соблазны, фантазии, воздушные замки. Не все чаши содержат то, что обещают. Пора отличить мечту от иллюзии."
"readings","readings.chalices-7.past","Too many options or fantasies scattered your focus. You spent time chasing illusions instead of committing to something real.","Время фантазий и нереализованных желаний. Не всё, что манило, оказалось стоящим."
"readings","readings.chalices-7.present","You're lost in possibilities. Some are genuine, most are smoke. Get honest about what you actually want — then commit to it.","Слишком много вариантов, и не все реальны. Часть из того, что видится, — иллюзия. Заземлись и выбери одну чашу."
"readings","readings.chalices-7.future","A dazzling array of options will present themselves. Most are distractions. Discernment will be your most valuable skill.","Впереди искушение принять желаемое за действительное. Различай мечту и побег от реальности."
"readings","readings.chalices-8.keywords","departure, withdrawal, letting go, searching","уход, разочарование, поиск глубины, оставление"
"readings","readings.chalices-8.meaning","Eight cups stacked neatly, a figure walking away under a crescent moon. Something is being left behind — not because it's bad, but because it's not enough anymore. This is a quiet, necessary departure.","Восьмёрка Кубков — фигура уходит от восьми сложенных чаш к горам. Что-то больше не наполняет. Уход — не бегство, а честность. Иногда нужно оставить то, что перестало иметь смысл."
"readings","readings.chalices-8.past","You walked away from something that looked fine from the outside but felt empty within. That departure took courage, even if no one understood it.","Уход от чего-то, что перестало быть достаточным. Это решение было трудным, но необходимым для роста."
"readings","readings.chalices-8.present","Something isn't filling you anymore. The cups are there, but they're not enough. It's time to walk away and look for what's missing.","Что-то перестало наполнять. Пора честно признать это и двигаться дальше. То, что ищешь, не здесь."
"readings","readings.chalices-8.future","You'll reach a point where you outgrow a situation. The departure will be quiet and deliberate — not dramatic, but deeply necessary.","Впереди решение уйти от привычного ради чего-то более глубокого. Это потребует мужества, но принесёт освобождение."
"readings","readings.chalices-9.keywords","contentment, satisfaction, gratitude, wish fulfilled","удовлетворение, изобилие, благополучие, исполнение"
"readings","readings.chalices-9.meaning","Nine cups displayed proudly, the figure sits with arms crossed and a satisfied grin. The wish card. What you wanted — you got it. Enjoy the moment of having enough.","Девятка Кубков — фигура сидит перед девятью полными чашами, скрестив руки в довольстве. Карта исполнения желаний. То, о чём мечталось, сбывается. Позволь себе наслаждаться."
"readings","readings.chalices-9.past","A wish came true. A moment of genuine satisfaction when things lined up the way you hoped. That contentment was earned.","Период, когда желания сбывались и жизнь ощущалась полной. Это удовлетворение было заслуженным."
"readings","readings.chalices-9.present","Look at what you have. Really look. This is a moment of fulfillment — maybe not perfection, but genuine satisfaction. Let yourself enjoy it.","Прямо сейчас есть больше поводов для благодарности, чем кажется. Девять чаш полны — наслаждайся моментом."
"readings","readings.chalices-9.future","A wish is about to be granted. Not in a fairy-tale way, but in the real, solid way that comes from work meeting luck. Savor it.","Впереди исполнение важного желания. То, к чему стремились, готово осуществиться."
"readings","readings.chalices-10.keywords","harmony, family, happiness, emotional fulfillment","семья, гармония, счастье, эмоциональная полнота"
"readings","readings.chalices-10.meaning","Ten cups arched like a rainbow over a happy family. Emotional completion — love, belonging, the whole picture. This is what it looks like when the heart has everything it needs.","Десятка Кубков — семья под радугой из десяти чаш. Эмоциональная полнота, семейное счастье, глубокая связь с близкими. Это не идеализация — это то, что возможно, когда сердце открыто."
"readings","readings.chalices-10.past","A time of deep emotional fulfillment — family, love, belonging. That experience of wholeness set a standard for what happiness can look like.","Период настоящего эмоционального счастья — с семьёй, с близкими, в ощущении принадлежности."
"readings","readings.chalices-10.present","Emotional abundance surrounds you. Family, love, connection — the full picture. Don't take it for granted. This is the thing people are chasing.","Счастье рядом — в отношениях, в семье, в ощущении дома. Не ищи далеко — радуга уже над головой."
"readings","readings.chalices-10.future","Lasting emotional fulfillment is ahead. Not a fleeting high, but the deep, steady happiness that comes from genuine connection and love.","Впереди период эмоциональной полноты и гармонии с близкими. То, к чему стремится сердце, достижимо."
"readings","readings.chalices-page.keywords","creative spark, curiosity, sensitivity, new feelings","мечтательность, послание, нежность, интуиция"
"readings","readings.chalices-page.meaning","A young figure gazes at a cup with a fish leaping from it — surprised and enchanted. New emotional or creative stirrings, the sensitivity of someone just learning to feel deeply.","Паж Кубков смотрит на рыбку в своей чаше с детским удивлением. Творческое послание, начало нового чувства, интуитивный проблеск. Что-то нежное стучится в дверь."
"readings","readings.chalices-page.past","An early emotional experience awakened something in you. A first crush, a creative discovery, a moment of surprising tenderness.","Первый проблеск чувства или творческого импульса — робкий, но настоящий. Это нежное начало оставило след."
"readings","readings.chalices-page.present","A new feeling is emerging — tender, unformed, full of possibility. Approach it with curiosity, not skepticism. Let it develop.","Приходит послание — через чувство, сон или внезапное вдохновение. Обрати внимание на тихие сигналы."
"readings","readings.chalices-page.future","A message of the heart is coming. New creative inspiration or an emotional surprise that reawakens your sense of wonder.","Впереди нежное начало — новое чувство, творческая идея или эмоциональное открытие."
"readings","readings.chalices-knight.keywords","romance, charm, idealism, imagination","романтика, идеализм, чувственность, приглашение"
"readings","readings.chalices-knight.meaning","The Knight of Chalices rides slowly, cup extended like an offering. The romantic, the poet, the one who follows the heart without question. Beautiful — just make sure it's grounded in reality.","Рыцарь Кубков едет медленно, протягивая чашу как дар. Романтик, мечтатель, тот, кто следует за сердцем. Приглашение к чувству — искреннее, но, возможно, слишком идеалистичное."
"readings","readings.chalices-knight.past","A romantic pursuit or creative passion swept you along. The idealism was genuine, even if reality eventually complicated things.","Романтический жест или период, когда чувства вели за собой. Идеализм был силой — или слабостью."
"readings","readings.chalices-knight.present","Follow your heart — but keep one foot on the ground. A romantic or creative opportunity is presenting itself with great charm. Enjoy it, but stay awake.","Кто-то (или что-то) приглашает открыть сердце. Предложение искреннее. Но проверь — за красивым жестом есть ли глубина?"
"readings","readings.chalices-knight.future","A romantic figure or creative opportunity approaches. It will be appealing and heartfelt. Just remember: charm and substance aren't always the same thing.","Впереди романтическое предложение или эмоциональный призыв. Следовать за сердцем стоит, но не теряя связи с землёй."
"readings","readings.chalices-queen.keywords","compassion, emotional depth, intuition, nurturing","сострадание, эмпатия, забота, эмоциональная глубина"
"readings","readings.chalices-queen.meaning","The Queen of Chalices sits at the water's edge, holding an ornate cup. She feels everything — and somehow doesn't drown. Deep emotional intelligence, compassion without losing herself.","Королева Кубков держит чашу с закрытой крышкой — глубокие чувства, защищённые мудростью. Эмпатия без потери себя. Она чувствует всё, но не тонет."
"readings","readings.chalices-queen.past","A deeply compassionate figure influenced your life — someone who understood emotions intuitively and held space without judgment.","Период глубокой эмоциональной мудрости — когда сострадание и границы существовали вместе. Забота о других не разрушала."
"readings","readings.chalices-queen.present","Lead with empathy right now. The situation calls for emotional intelligence, not logic. Trust your feelings — they're reading the room better than your mind.","Обращайся к чувствам, но храни их мудро. Сострадание — сила, если не растворяешься в чужих эмоциях."
"readings","readings.chalices-queen.future","You're growing into deeper emotional wisdom. The ability to feel deeply without being consumed is developing — and it will serve you well.","Впереди роль, требующая эмоциональной глубины и мудрости. Сострадание станет главным инструментом."
"readings","readings.chalices-king.keywords","emotional maturity, diplomacy, calm, wisdom","эмоциональная зрелость, спокойствие, щедрость, контроль чувств"
"readings","readings.chalices-king.meaning","The King of Chalices sits on his throne amid turbulent waters, perfectly calm. He feels everything but rules it rather than being ruled by it. Emotional mastery — deep water, steady hand.","Король Кубков сидит на троне посреди моря, но волны его не касаются. Эмоциональная зрелость — чувства есть, но они не управляют. Щедрость и теплота, основанные на внутреннем спокойствии."
"readings","readings.chalices-king.past","Emotional mastery was learned, likely through difficult experience. Someone — maybe you — learned to navigate deep feelings without capsizing.","Эмоциональная зрелость, приобретённая через опыт. Период, когда удалось найти спокойствие среди бурных чувств."
"readings","readings.chalices-king.present","Stay calm in the emotional current. You can feel deeply and still make wise decisions. Don't suppress — govern.","Время проявить эмоциональную мудрость. Чувства есть, но не позволяй им управлять действиями. Будь щедрым и спокойным."
"readings","readings.chalices-king.future","Emotional maturity will be your greatest asset in what's coming. The waters will be deep, but you'll navigate them with skill.","Впереди состояние внутреннего покоя. Эмоциональная зрелость, к которой ведёт весь путь, скоро станет естественной."
"readings","readings.swords-1.keywords","clarity, breakthrough, truth, new idea","ясность, прорыв, истина, решимость"
"readings","readings.swords-1.meaning","The Ace of Swords cuts through the fog — one blade, one truth. A breakthrough in thinking, a flash of clarity, the moment when confusion parts and you see things as they are.","Туз Мечей — рука из облака сжимает меч, увенчанный короной. Момент абсолютной ясности, прорыв сквозь иллюзии. Истина остра, но именно она освобождает."
"readings","readings.swords-1.past","A moment of sudden clarity changed everything. An idea, a truth, a realization cut through the noise and gave you direction.","Момент прозрения, когда правда стала очевидной. Эта ясность — болезненная или нет — изменила всё."
"readings","readings.swords-1.present","The truth is available to you right now — sharp and clear. Cut through the confusion. Say what needs to be said. Think clearly.","Пришло время ясности. Отсеки лишнее, посмотри правде в глаза. Меч острый — используй его точно."
"readings","readings.swords-1.future","A breakthrough is coming. Mental clarity, a new idea, or a truth you've been circling will suddenly snap into focus.","Впереди прорыв — момент, когда туман рассеется и истина станет неизбежной. Ясность приближается."
"readings","readings.swords-2.keywords","indecision, stalemate, avoidance, difficult choice","тупик, выбор, отказ видеть, внутренний конфликт"
"readings","readings.swords-2.meaning","A blindfolded figure holds two crossed swords, the sea calm behind them. Paralysis by analysis. Two options, no movement. The blindfold isn't ignorance — it's avoidance. Pick a sword.","Двойка Мечей — фигура с завязанными глазами держит два скрещённых меча. Отказ выбирать, внутренний тупик. Повязка на глазах не защищает — она продлевает боль."
"readings","readings.swords-2.past","A period of indecision kept you stuck. You couldn't — or wouldn't — choose, and the stalemate cost you time.","Период, когда решение откладывалось, глаза были закрыты. Этот тупик длился дольше, чем нужно было."
"readings","readings.swords-2.present","You're avoiding a decision. The two options aren't going to resolve themselves. Remove the blindfold and choose.","Решение нужно принять, но что-то мешает. Повязку на глазах надели не враги — ты сам. Сними её."
"readings","readings.swords-2.future","A difficult choice is ahead. The temptation will be to avoid it, to stay balanced between two sides. Don't. Choose and move.","Впереди необходимость выбора, который нельзя больше откладывать. Чем дольше медлить, тем больнее будет."
"readings","readings.swords-3.keywords","heartbreak, sorrow, grief, painful truth","боль, разбитое сердце, горе, страдание"
"readings","readings.swords-3.meaning","Three swords through a heart. There's no gentle way to read this — it's pain. Heartbreak, betrayal, a truth that cuts. But the rain clears. This is the wound, not the whole story.","Тройка Мечей — сердце, пронзённое тремя клинками, под дождём. Боль настоящая, горе глубокое. Эта карта не утешает — она признаёт. Иногда единственный путь — через."
"readings","readings.swords-3.past","A deep hurt — betrayal, heartbreak, or a painful truth — left its mark. The wound may have healed, but the scar taught you something.","Было время острой боли — предательство, потеря, разрыв. Раны зажили, но шрамы формируют."
"readings","readings.swords-3.present","Something is causing real pain. Don't minimize it or rush past it. Feel it fully, then let it begin to heal.","Сейчас больно. Не нужно делать вид, что это не так. Признай боль — это первый шаг к исцелению."
"readings","readings.swords-3.future","A painful experience is ahead. It will hurt, but it will also be honest. Better a clean cut than a slow rot.","Впереди может быть боль, но она не уничтожит. Зная о ней заранее, можно встретить её осознанно."
"readings","readings.swords-4.keywords","rest, recovery, contemplation, retreat","отдых, восстановление, перемирие, тишина"
"readings","readings.swords-4.meaning","A figure lies on a stone slab, three swords on the wall, one beneath. Rest after battle. This isn't laziness — it's necessary recovery. Put down the sword. Your mind needs silence.","Четвёрка Мечей — фигура лежит на каменной плите, три меча на стене, один под ней. Вынужденный или добровольный отдых. Битва позади — пора восстановиться, прежде чем двигаться дальше."
"readings","readings.swords-4.past","A period of forced or chosen rest followed a difficult time. That pause was more productive than it felt — the mind healed in the quiet.","Период вынужденного покоя, когда тело или разум потребовали паузу. Это восстановление было необходимым."
"readings","readings.swords-4.present","Rest. You've been fighting — mentally, emotionally, or both. The battle can wait. Recover your strength before the next round.","Нужен отдых. Не временный, а настоящий. Отложи мечи, закрой глаза. Следующая битва подождёт."
"readings","readings.swords-4.future","A period of necessary retreat is coming. Don't resist it. The recovery will prepare you for what follows.","Впереди период затишья. Используй его — восстановись, собери силы. Это не поражение, а подготовка."
"readings","readings.swords-5.keywords","conflict, defeat, hostility, winning at cost","конфликт, поражение, подлость, пиррова победа"
"readings","readings.swords-5.meaning","Five swords, a smirking victor, defeated figures walking away. Someone won — but at what cost? This card asks: was the victory worth the damage? Winning isn't always winning.","Пятёрка Мечей — фигура с тремя мечами смотрит на двух уходящих побеждённых. Победа, но какой ценой? Конфликт, в котором никто не выиграл по-настоящему. Стоило ли это того?"
"readings","readings.swords-5.past","A conflict left wreckage. Someone won, someone lost, and the aftermath was bitter. The victory may have cost more than it was worth.","Конфликт, в котором победа оказалась пустой. Кто-то ушёл с мечами, кто-то — с ранами. Но выиграл ли кто-то?"
"readings","readings.swords-5.present","A conflict is playing out. Before you fight to win, ask yourself what you're actually gaining — and what you're destroying in the process.","Идёт борьба — но за что? Проверь, стоит ли приз битвы. Иногда отступить мудрее, чем победить."
"readings","readings.swords-5.future","A confrontation is ahead. Pick your battles carefully. Some fights aren't worth the prize, and some victories leave you emptier than defeat.","Впереди конфликт, в котором важно не поддаться на провокацию. Победа любой ценой — не победа."
"readings","readings.swords-6.keywords","transition, moving on, leaving behind, recovery","переход, уход, облегчение, путешествие"
"readings","readings.swords-6.meaning","A boatman carries passengers and six swords across calm water. Moving away from something difficult — not running, but deliberately leaving rough waters behind. The journey isn't over, but the worst is.","Шестёрка Мечей — фигуры в лодке плывут к далёкому берегу, оставляя бурные воды позади. Переход от трудного к спокойному. Уход не из слабости, а из мудрости."
